StateAbbr,PlaceName,PlaceFIPS,Geo_FIPS,Place_TractID,ACCESS2_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,OBESITY_CrudePrev,Geolocation,StateDesc,CountyName,CountyFIPS_x,TotalPopulation,CERVICAL_CrudePrev,Year,lat,lon,pop_ct,Geo_FIPS_TractLvl,StateFIPS,CountyFIPS_y,TractFIPS,TotalPopEst2015_19ACS,UnderAge1PopEst2015_19ACS,Age0to17PopEst2015_19ACS,Unique0to17WithED_Visit,NumberED_VisitsAge0to17,NumberLowAcuityED_VisitsAge0to17,NumberAsthmaRelatedED_Visits,NumberED_VisitsByChildrenUnder1YearOld,NumberOfInjuryRelatedVisits,NumberAcuteRespiratoryTractInfectionRelatedED_VisitsAge0to17,AllPrimaryCarePatientsAge0to17,WellChildVisitsInPastYearAge0to17,AsthmaDiagnosisAge0to17
PA,,,42003473200.0,,5.9,28.1,78.4,8.9,5.8,79.8,88.6,5.1,48.5,12.4,8.0,32.5,27.1,POINT (-80.04834399 40.38148791),Pennsylvania,Allegheny,42003.0,3192.0,87.6,2016,OINT (-80.0483,99 40.38148791,,42003473200,42,3,473200,2892.0,31.0,561.0,57.0,72.0,22.0,10.0,6.0,0.0,9.0,294.0,265.0,37.0
PA,,,42003473200.0,,5.9,28.1,78.4,8.9,5.8,79.8,88.6,5.1,48.5,12.4,8.0,32.5,27.1,POINT (-80.04834399 40.38148791),Pennsylvania,Allegheny,42003.0,3192.0,87.6,2017,OINT (-80.0483,99 40.38148791,,42003473200,42,3,473200,2892.0,31.0,561.0,58.0,75.0,26.0,9.0,8.0,3.0,6.0,323.0,290.0,37.0
PA,,,42003473200.0,,5.9,28.1,78.4,8.9,5.8,79.8,88.6,5.1,48.5,12.4,8.0,32.5,27.1,POINT (-80.04834399 40.38148791),Pennsylvania,Allegheny,42003.0,3192.0,87.6,2018,OINT (-80.0483,99 40.38148791,,42003473200,42,3,473200,2892.0,31.0,561.0,46.0,59.0,15.0,9.0,10.0,0.0,3.0,336.0,302.0,36.0
PA,,,42003473200.0,,5.9,28.1,78.4,8.9,5.8,79.8,88.6,5.1,48.5,12.4,8.0,32.5,27.1,POINT (-80.04834399 40.38148791),Pennsylvania,Allegheny,42003.0,3192.0,87.6,2019,OINT (-80.0483,99 40.38148791,,42003473200,42,3,473200,2892.0,31.0,561.0,69.0,107.0,52.0,6.0,13.0,2.0,15.0,333.0,289.0,33.0
PA,,,42003473300.0,,5.5,29.0,78.9,8.8,6.0,80.5,89.8,5.2,48.9,12.2,8.0,33.3,27.5,POINT (-80.03018686 40.37996049),Pennsylvania,Allegheny,42003.0,5502.0,89.3,2016,OINT (-80.0301,86 40.37996049,,42003473300,42,3,473300,5437.0,30.8,1314.0,114.0,140.0,41.0,21.0,22.0,2.0,17.0,556.0,496.0,73.0
PA,,,42003473300.0,,5.5,29.0,78.9,8.8,6.0,80.5,89.8,5.2,48.9,12.2,8.0,33.3,27.5,POINT (-80.03018686 40.37996049),Pennsylvania,Allegheny,42003.0,5502.0,89.3,2017,OINT (-80.0301,86 40.37996049,,42003473300,42,3,473300,5437.0,30.8,1314.0,114.0,145.0,54.0,15.0,21.0,4.0,14.0,584.0,491.0,79.0
PA,,,42003473300.0,,5.5,29.0,78.9,8.8,6.0,80.5,89.8,5.2,48.9,12.2,8.0,33.3,27.5,POINT (-80.03018686 40.37996049),Pennsylvania,Allegheny,42003.0,5502.0,89.3,2018,OINT (-80.0301,86 40.37996049,,42003473300,42,3,473300,5437.0,30.8,1314.0,130.0,173.0,81.0,17.0,29.0,1.0,20.0,643.0,586.0,83.0
PA,,,42003473300.0,,5.5,29.0,78.9,8.8,6.0,80.5,89.8,5.2,48.9,12.2,8.0,33.3,27.5,POINT (-80.03018686 40.37996049),Pennsylvania,Allegheny,42003.0,5502.0,89.3,2019,OINT (-80.0301,86 40.37996049,,42003473300,42,3,473300,5437.0,30.8,1314.0,132.0,162.0,77.0,15.0,17.0,2.0,9.0,653.0,587.0,79.0
PA,,,42003473401.0,,5.7,27.3,76.7,9.0,5.4,79.2,88.7,5.0,47.0,13.3,8.0,32.4,28.9,POINT (-80.04265471 40.37185094),Pennsylvania,Allegheny,42003.0,3713.0,88.0,2016,OINT (-80.0426,71 40.37185094,,42003473401,42,3,473401,3574.0,22.8,951.0,93.0,130.0,33.0,24.0,22.0,0.0,17.0,448.0,397.0,51.0
PA,,,42003473401.0,,5.7,27.3,76.7,9.0,5.4,79.2,88.7,5.0,47.0,13.3,8.0,32.4,28.9,POINT (-80.04265471 40.37185094),Pennsylvania,Allegheny,42003.0,3713.0,88.0,2017,OINT (-80.0426,71 40.37185094,,42003473401,42,3,473401,3574.0,22.8,951.0,82.0,111.0,46.0,21.0,15.0,0.0,10.0,471.0,382.0,58.0
PA,,,42003473401.0,,5.7,27.3,76.7,9.0,5.4,79.2,88.7,5.0,47.0,13.3,8.0,32.4,28.9,POINT (-80.04265471 40.37185094),Pennsylvania,Allegheny,42003.0,3713.0,88.0,2018,OINT (-80.0426,71 40.37185094,,42003473401,42,3,473401,3574.0,22.8,951.0,98.0,125.0,57.0,16.0,3.0,0.0,10.0,488.0,402.0,62.0
PA,,,42003473401.0,,5.7,27.3,76.7,9.0,5.4,79.2,88.7,5.0,47.0,13.3,8.0,32.4,28.9,POINT (-80.04265471 40.37185094),Pennsylvania,Allegheny,42003.0,3713.0,88.0,2019,OINT (-80.0426,71 40.37185094,,42003473401,42,3,473401,3574.0,22.8,951.0,92.0,120.0,54.0,8.0,16.0,3.0,12.0,497.0,431.0,59.0
PA,,,42003473402.0,,4.7,28.7,79.1,8.5,5.6,81.0,90.7,4.6,50.3,10.6,7.8,33.8,26.8,POINT (-80.04178493 40.35925092),Pennsylvania,Allegheny,42003.0,3667.0,89.4,2016,OINT (-80.0417,93 40.35925092,,42003473402,42,3,473402,3417.0,22.6,777.0,74.0,90.0,32.0,6.0,12.0,0.0,5.0,387.0,353.0,57.0
PA,,,42003473402.0,,4.7,28.7,79.1,8.5,5.6,81.0,90.7,4.6,50.3,10.6,7.8,33.8,26.8,POINT (-80.04178493 40.35925092),Pennsylvania,Allegheny,42003.0,3667.0,89.4,2017,OINT (-80.0417,93 40.35925092,,42003473402,42,3,473402,3417.0,22.6,777.0,80.0,96.0,36.0,3.0,13.0,2.0,6.0,386.0,341.0,54.0
PA,,,42003473402.0,,4.7,28.7,79.1,8.5,5.6,81.0,90.7,4.6,50.3,10.6,7.8,33.8,26.8,POINT (-80.04178493 40.35925092),Pennsylvania,Allegheny,42003.0,3667.0,89.4,2018,OINT (-80.0417,93 40.35925092,,42003473402,42,3,473402,3417.0,22.6,777.0,67.0,87.0,41.0,4.0,16.0,3.0,12.0,404.0,368.0,54.0
PA,,,42003473402.0,,4.7,28.7,79.1,8.5,5.6,81.0,90.7,4.6,50.3,10.6,7.8,33.8,26.8,POINT (-80.04178493 40.35925092),Pennsylvania,Allegheny,42003.0,3667.0,89.4,2019,OINT (-80.0417,93 40.35925092,,42003473402,42,3,473402,3417.0,22.6,777.0,83.0,115.0,50.0,4.0,17.0,3.0,14.0,410.0,378.0,49.0
PA,,,42003473500.0,,4.5,27.1,77.3,8.5,5.0,80.2,90.4,4.2,50.3,10.6,7.3,32.8,27.2,POINT (-80.05460001 40.36583936),Pennsylvania,Allegheny,42003.0,3680.0,90.0,2016,OINT (-80.0546,01 40.36583936,,42003473500,42,3,473500,3691.0,33.4,958.0,77.0,94.0,30.0,5.0,12.0,0.0,8.0,473.0,432.0,69.0
PA,,,42003473500.0,,4.5,27.1,77.3,8.5,5.0,80.2,90.4,4.2,50.3,10.6,7.3,32.8,27.2,POINT (-80.05460001 40.36583936),Pennsylvania,Allegheny,42003.0,3680.0,90.0,2017,OINT (-80.0546,01 40.36583936,,42003473500,42,3,473500,3691.0,33.4,958.0,88.0,102.0,33.0,7.0,9.0,1.0,10.0,472.0,426.0,64.0
PA,,,42003473500.0,,4.5,27.1,77.3,8.5,5.0,80.2,90.4,4.2,50.3,10.6,7.3,32.8,27.2,POINT (-80.05460001 40.36583936),Pennsylvania,Allegheny,42003.0,3680.0,90.0,2018,OINT (-80.0546,01 40.36583936,,42003473500,42,3,473500,3691.0,33.4,958.0,82.0,116.0,42.0,14.0,18.0,1.0,9.0,537.0,477.0,70.0
