,Geo_FIPS,YearOfContactDate,ACCESS2_CrudePrev,"Particulate Matter, Condensable",DIABETES_CrudePrev,Age0to17PopEst2015_19ACS_x,OBESITY_CrudePrev,COPD_CrudePrev,White Population,CSMOKING_CrudePrev,Median Age,Median Income,Carbon Monoxide,Pre1950,BPHIGH_CrudePrev,Black or African American Population,CHOLSCREEN_CrudePrev
44,130200,2019.0,12.7,0.1793084173706425,19.1,366.0,44.4,8.6,108.0,25.4,38.1,28393.0,2.316933229214752,0.880952,47.6,1286.0,82.2
45,130300,2019.0,12.6,0.1923484121938623,21.3,271.0,42.6,9.6,55.0,23.1,53.9,15299.0,2.469558696605082,0.398515,51.9,1138.0,84.8
46,130400,2019.0,16.4,0.0063117426858761,21.3,286.0,46.3,11.1,52.0,30.2,33.2,17276.0,1.0432488522949537,0.680532,49.9,778.0,79.6
47,130600,2019.0,13.7,0.0025751289667215,19.3,682.0,44.0,9.1,407.0,26.4,36.6,30089.0,0.376037711373471,0.353866,47.6,2482.0,81.1
48,140100,2019.0,8.7,1.3439914337635124,4.6,541.0,18.4,3.5,3696.0,14.5,20.3,133750.0,17.76887719128774,0.671391,16.4,323.0,66.0
49,140200,2019.0,6.8,1.0643237552537457,5.7,250.0,20.8,3.7,1932.0,13.4,26.0,71648.0,13.184527855446207,0.474977,19.9,33.0,73.5
50,140300,2019.0,4.6,0.8993784756327258,6.2,668.0,21.4,3.7,2734.0,10.6,40.2,125303.0,11.724334836402834,0.72179,24.4,116.0,83.3
51,140400,2019.0,3.9,0.8523076886487202,7.0,494.0,22.9,3.8,2003.0,10.2,43.8,169375.0,10.197216763608576,0.671301,26.7,57.0,86.7
52,140500,2019.0,7.4,0.2350710195174538,10.8,245.0,31.4,4.8,937.0,16.3,32.4,67736.0,3.798404289185155,0.585366,33.4,710.0,82.7
53,140600,2019.0,4.9,0.2211430503193127,7.2,642.0,25.4,4.3,2827.0,13.0,37.1,96964.0,3.5338941688097623,0.770514,26.6,180.0,84.2
54,140800,2019.0,5.7,0.6180359689270577,6.5,893.0,22.8,4.0,3632.0,12.9,34.6,80804.0,9.650355493758084,0.670526,23.7,101.0,80.1
55,141000,2019.0,4.5,9.277665852795394,6.5,215.0,23.1,3.9,929.0,11.7,41.9,124688.0,187.88906728993123,0.915811,25.0,8.0,84.9
56,141100,2019.0,7.0,9.872953256774895,9.3,248.0,27.3,6.5,1209.0,17.7,45.5,69375.0,201.35640040779447,0.576138,31.6,60.0,83.8
57,141300,2019.0,7.1,1.0216470774159223,7.4,706.0,23.1,4.7,3552.0,14.4,31.8,44750.0,13.061003253968446,0.678835,25.7,101.0,77.0
58,141400,2019.0,5.8,0.5788812464427823,7.6,740.0,22.8,4.7,4087.0,12.7,39.7,70750.0,8.701980049505105,0.424324,27.9,386.0,82.8
59,151600,2019.0,7.5,0.956290770636341,7.5,435.0,25.5,5.8,2298.0,18.3,35.9,64891.0,16.44585421786763,0.673998,27.2,78.0,80.2
60,151700,2019.0,6.7,0.7756378583577788,7.2,844.0,24.8,4.9,4540.0,16.1,33.4,70156.0,11.816416590011114,0.653287,25.8,494.0,80.5
61,160800,2019.0,8.4,1.033496017290617,7.2,307.0,27.1,5.7,2068.0,20.3,31.0,46844.0,21.253526402829365,0.891181,25.2,423.0,74.7
62,160900,2019.0,7.8,1.2554035112623605,6.3,217.0,25.3,4.8,2572.0,18.1,31.1,58836.0,25.92869047594173,0.599893,22.3,209.0,71.3
63,170200,2019.0,7.6,1.38010087785771,5.3,84.0,24.6,4.3,3283.0,17.6,27.3,51063.0,24.023456052546557,0.729663,20.1,259.0,70.8
64,170600,2019.0,8.3,0.9374464949099732,7.3,151.0,26.8,5.6,1479.0,19.7,33.2,61458.0,18.67918894338408,0.847349,25.3,155.0,74.6
65,180300,2019.0,11.8,0.8284572146127147,11.9,489.0,36.6,8.8,1322.0,28.0,34.5,35375.0,17.469040457609402,0.658628,34.7,585.0,75.6
66,180700,2019.0,9.4,0.7570841051523862,7.6,279.0,29.3,6.0,1526.0,22.8,35.6,49792.0,16.525796205275068,0.742019,26.2,350.0,74.2
67,190300,2019.0,6.6,0.9686904447512358,7.6,64.0,25.1,5.5,1771.0,16.7,45.5,70000.0,20.471064126315984,0.707038,26.9,15.0,78.5
68,191100,2019.0,7.3,0.768424055439468,8.1,256.0,26.0,6.0,2265.0,18.3,41.9,63715.0,17.963993141361108,0.560345,28.0,59.0,79.6
69,191400,2019.0,8.6,0.9044198985082912,7.9,262.0,27.5,6.0,2123.0,20.2,31.8,62118.0,18.917577662499777,0.64104,26.8,234.0,74.7
70,191500,2019.0,8.8,0.6235587236031699,7.8,209.0,27.6,6.2,1774.0,21.4,32.3,43571.0,13.063947142514088,0.746814,26.6,69.0,75.7
71,191600,2019.0,10.7,0.1873128360800862,9.1,777.0,30.3,7.3,3054.0,23.9,39.1,55699.0,9.613388660402348,0.636752,29.7,586.0,76.9
72,191700,2019.0,8.1,0.1777503251036786,8.7,542.0,28.0,6.7,3108.0,20.7,36.8,68476.0,9.938015542409325,0.431515,29.5,195.0,80.2
73,191800,2019.0,8.3,0.0,8.6,1040.0,27.9,6.9,4483.0,21.3,38.1,53676.0,0.2453197339274536,0.64941,29.6,219.0,80.0
74,191900,2019.0,7.9,0.0471466599310776,8.0,290.0,27.7,6.4,1908.0,20.7,35.7,61979.0,2.5086843888681427,0.733641,28.2,29.0,80.1
75,192000,2019.0,9.3,0.0579560290068387,10.1,692.0,29.7,7.8,2879.0,21.7,39.1,47236.0,4.745112240012351,0.584158,32.5,488.0,79.3
76,202200,2019.0,11.1,0.6084090285070514,12.8,1039.0,35.8,9.2,1565.0,26.1,32.6,42667.0,11.11899731167302,0.683447,36.9,1099.0,79.0
77,202300,2019.0,7.6,0.05555955795453,7.7,284.0,24.4,5.7,3092.0,17.4,39.6,65104.0,4.644638725292047,0.176281,27.7,91.0,79.8
78,210700,2019.0,9.3,0.8924886375904273,14.3,322.0,38.1,6.3,631.0,20.3,34.7,43889.0,19.53737962348985,0.639633,40.6,1506.0,83.9
79,220600,2019.0,8.1,1.369627512652357,10.5,216.0,31.1,5.5,1139.0,18.2,38.3,57083.0,32.55922680105213,0.779854,32.9,442.0,81.5
80,240600,2019.0,8.1,1.6103746045681016,8.1,221.0,28.5,6.0,2051.0,20.3,34.9,56399.0,24.775729098758845,0.831875,28.0,109.0,78.9
81,241200,2019.0,11.9,1.412315121654682,11.2,86.0,33.4,9.5,706.0,29.0,48.4,36818.0,22.693122399584027,0.801066,34.3,0.0,77.3
82,250300,2019.0,9.7,1.352421287079612,11.5,211.0,35.3,5.9,676.0,21.7,34.9,52963.0,28.28063127005067,0.905109,34.2,464.0,79.0
83,250700,2019.0,14.8,1.1301755144853642,16.1,165.0,43.9,9.7,128.0,30.5,33.1,23889.0,21.97353333424607,0.627907,41.3,427.0,75.6
84,250900,2019.0,11.8,1.3626945858371378,12.4,118.0,36.8,8.0,447.0,26.4,37.1,25962.0,25.2349041059613,0.802532,35.8,546.0,77.4
85,260200,2019.0,9.3,0.6437210672125794,10.3,364.0,31.9,7.2,1266.0,22.8,36.5,48750.0,10.087894145728448,0.760075,32.4,742.0,79.5
86,260700,2019.0,7.9,0.9459554113678136,8.4,291.0,29.4,5.1,953.0,18.6,41.7,61688.0,15.277556951264328,0.797933,29.1,477.0,82.0
87,260900,2019.0,20.9,1.1545911536967008,22.8,619.0,50.0,14.0,19.0,36.2,23.3,16250.0,16.235320709296744,0.270588,49.7,1627.0,73.5
88,261200,2019.0,7.1,0.6315395426490624,9.1,231.0,27.4,6.2,971.0,18.3,38.1,73292.0,10.526412495107063,0.656489,31.7,32.0,83.9
89,261400,2019.0,12.2,1.3271173566319152,16.8,431.0,39.7,9.2,758.0,24.7,40.4,35500.0,23.28081999240093,0.651976,44.8,1397.0,81.8
90,261500,2019.0,10.9,1.0713563204195615,14.2,553.0,38.7,7.8,587.0,24.5,30.9,31977.0,18.815735544630872,0.566557,39.1,1089.0,80.1
91,262000,2019.0,11.2,1.3995134634823871,12.4,429.0,34.6,9.5,1684.0,26.2,43.5,37833.0,23.12682814973046,0.734582,36.5,569.0,77.9
92,270100,2019.0,7.5,0.6777747009856908,8.5,743.0,28.8,5.8,1984.0,18.8,35.2,63542.0,12.397025278452254,0.874126,29.5,663.0,81.9
93,270300,2019.0,11.1,0.8318913092018198,12.3,512.0,33.3,9.2,1154.0,24.9,40.3,50378.0,17.369034054401553,0.77907,36.9,908.0,79.7
94,270400,2019.0,10.4,0.8997887238761573,12.2,52.0,34.7,8.0,536.0,24.4,56.2,51205.0,19.981213625937567,0.747664,37.0,382.0,81.5
95,270800,2019.0,8.0,0.5438915470515634,10.5,236.0,30.2,7.5,1801.0,20.2,49.4,60707.0,10.582188879998256,0.502622,34.4,315.0,82.7
96,271500,2019.0,11.7,0.8048038879969772,12.5,1045.0,36.4,9.1,1288.0,27.2,29.7,45517.0,17.46471284754193,0.796455,37.0,1564.0,78.5
97,281400,2019.0,11.9,0.5805260798519528,12.9,714.0,36.2,9.8,1292.0,27.2,31.0,39709.0,13.609629643792,0.441176,37.0,927.0,77.1
98,281500,2019.0,8.4,0.4813708562938787,9.4,296.0,30.1,7.1,1141.0,22.3,38.8,52171.0,11.99968896977212,0.601955,31.2,215.0,80.4
99,290100,2019.0,11.0,0.3929767271015636,11.7,530.0,34.3,9.6,1482.0,28.1,34.8,37756.0,9.224213130626834,0.763182,34.7,406.0,76.9
100,290200,2019.0,10.3,0.5796111656669333,10.6,1174.0,31.1,8.8,2808.0,25.0,38.2,35536.0,10.123135226124564,0.713159,33.4,647.0,78.4
101,290400,2019.0,10.4,0.1597019125873112,10.6,955.0,31.6,9.0,3157.0,26.2,35.4,46358.0,5.544656265534927,0.658718,33.0,785.0,77.9
102,300100,2019.0,13.6,0.7034628822415943,13.6,1052.0,38.7,9.6,1355.0,30.0,33.8,37071.0,14.319112537073805,0.809329,38.0,1882.0,76.6
103,310200,2019.0,8.5,9.420970555898482,9.3,661.0,28.3,7.7,3106.0,22.7,48.1,59401.0,565.7715486531451,0.509506,31.6,107.0,81.1
104,310300,2019.0,8.1,7.031531637539081,9.4,234.0,27.6,6.9,814.0,19.8,43.9,78250.0,422.8933938170816,0.292621,31.7,94.0,82.8
105,320400,2019.0,9.4,0.012535269947271,10.5,373.0,29.8,8.6,1868.0,23.7,44.8,49031.0,1.393192776338494,0.590323,34.1,89.0,79.8
106,320600,2019.0,8.3,0.1611119454096509,8.8,368.0,28.8,7.0,1989.0,22.0,39.7,62222.0,6.839319580346996,0.496762,30.1,126.0,80.3
107,320700,2019.0,9.3,0.011090199980157,10.8,312.0,30.6,8.9,1522.0,24.3,40.5,58125.0,1.2590909121407876,0.570529,34.2,36.0,80.2
108,561600,2019.0,11.6,0.8628882577874648,11.2,458.0,34.7,9.0,1335.0,28.3,34.4,41691.0,17.315292204961846,0.759919,33.6,645.0,75.6
109,561700,2019.0,13.3,0.7274210318628953,14.7,222.0,39.7,10.9,504.0,31.8,33.4,44688.0,13.132452760777827,0.748538,39.5,207.0,76.6
110,561900,2019.0,14.3,0.0084216400513922,24.2,465.0,46.4,11.6,318.0,26.7,49.2,35423.0,1.5751364292549503,0.491213,54.7,2024.0,83.3
111,562000,2019.0,8.7,1.9196308532898425,7.7,41.0,23.9,4.9,1826.0,16.0,26.7,22317.0,22.774522999930017,0.402216,23.8,276.0,68.9
112,562300,2019.0,13.3,0.62107341474141,18.7,393.0,41.7,12.2,1392.0,28.8,49.8,20018.0,9.986307884567657,0.637153,46.4,1490.0,79.7
113,562400,2019.0,11.3,0.6280429824756337,15.6,782.0,37.9,8.6,1324.0,24.1,34.4,34458.0,13.27865706104036,0.757781,42.3,1084.0,81.7
114,562500,2019.0,11.8,0.8603177139016456,12.3,644.0,36.8,8.5,941.0,27.0,37.3,27111.0,17.56488483779507,0.720639,35.9,1273.0,77.8
115,562600,2019.0,11.3,0.5440636291355425,11.8,664.0,35.3,8.9,1568.0,27.5,36.4,46395.0,14.147412309855964,0.780451,35.1,731.0,77.2
116,562700,2019.0,8.6,1.4176976855447203,10.1,104.0,30.5,5.8,1194.0,18.4,30.2,44750.0,47.39831525083492,0.173913,31.7,461.0,79.2
117,562800,2019.0,9.7,0.3076287699891521,10.1,251.0,29.8,8.0,1383.0,23.1,35.1,46094.0,4.607730055478477,0.596222,32.5,54.0,78.3
118,562900,2019.0,10.2,0.6459291196929671,12.0,428.0,34.7,8.7,1284.0,25.5,37.6,39731.0,14.227141861945498,0.733971,35.4,275.0,78.7
119,563000,2019.0,8.7,0.4651345585995092,10.4,258.0,30.0,6.1,1859.0,18.9,35.5,67409.0,6.884775879546004,0.305085,32.4,976.0,79.0
120,563100,2019.0,8.8,0.4050514115146468,9.4,650.0,28.1,7.2,2810.0,20.9,39.4,59113.0,10.634384365332432,0.34123,31.2,325.0,80.4
121,563200,2019.0,10.2,1.4618792382925037,11.0,110.0,33.2,7.2,1558.0,23.4,39.7,39943.0,29.294919702128148,0.717496,33.1,339.0,78.2
122,981800,2019.0,12.1,0.2301112763078864,17.4,47.0,29.0,10.6,113.0,16.3,19.4,54232.5,3.362615241815408,0.489583,45.8,55.0,75.5
123,982200,2019.0,12.4,4.188194720705207,1.8,80.0,25.5,4.1,3844.0,25.7,19.3,54232.5,30.70783332539049,0.391304,10.9,217.0,45.4
124,401100,2019.0,9.0,30.511776983216564,10.9,923.0,32.5,8.4,4482.0,20.6,46.5,59153.0,939.3557334593522,0.307229,32.7,70.0,87.2
125,401200,2019.0,12.6,23.39,13.7,663.0,37.7,11.4,2259.0,27.2,41.8,35323.0,720.1,0.617838,35.6,226.0,83.3
126,401300,2019.0,7.7,64.81736255043018,9.6,456.0,30.9,7.1,2573.0,18.2,47.3,68077.0,1995.5101655649755,0.659259,32.2,30.0,87.3
127,402000,2019.0,9.6,58.53323499037523,11.1,639.0,34.1,8.6,3037.0,22.0,41.3,41204.0,1802.0428609050537,0.535176,33.3,116.0,85.4
128,403500,2019.0,11.0,34.08969108543864,11.6,854.0,36.5,9.3,3740.0,25.8,48.7,33970.0,1049.507761890738,0.567926,32.8,469.0,83.1
129,404000,2019.0,9.1,72.32643038717796,10.0,334.0,32.6,7.9,1397.0,21.1,40.1,54728.0,813.0200102660531,0.582228,32.1,21.0,85.0
130,405000,2019.0,8.2,0.0,10.6,191.0,32.3,7.9,1118.0,19.5,48.5,71111.0,0.0,0.29588,33.6,0.0,87.9
