Year,TractCE,"1,1,2-Trichloroethane","1,1,2,2-Tetrachloroethane","1,2-Ethanediol (Ethylene Glycol)","1,3-Butadiene","1,4-Dichlorobenzene","1,4-Dioxane (1,4-Diethyleneoxide)","2,2,4-Trimethylpentane",Acetaldehyde,Acrolein,Acrylic Acid,Acrylonitrile,Ammonia,Antimony,Arsenic,Benzene,Cadmium,Carbon Dioxide,Carbon Disulfide,Carbon Monoxide,Carbon Tetrachloride,Chlorine,Chlorobenzene,Chloroethene (vinyl chloride),Chloroform,Chromium,Cobalt,Cresols/Cresylic Acid (Isomers And Mixture),Cyanides,Dibutylphthalate,Ethyl Chloride (Chloroethane),Ethylbenzene,"Ethylene Dichloride (1,2-Dichloroethane)",Ethylene Oxide,"Ethylidene Dichloride (1,1-Dichloroethane)",Formaldehyde,Glycol Ethers,Hexane,Hexavalent Chromium,Hydrochloric Acid,Hydrogen Fluoride (Hydrofluoric Acid),Hydrogen Sulfide,Isophorone,Lead,m-Xylene,Maleic Anhydride,Manganese,Mercury,Methane,Methanol,Methyl Chloride (Chloromethane),"Methyl Chloroform (1,1,1-Trichloroethane)",Methyl Isobutyl Ketone (4-Methyl-2-Pentanone),Methyl Methacrylate,Methylene Chloride (Dichloromethane),Naphthalene,Nickel,Nitrogen Oxides,Nitrous Oxide (N2O),o-Xylene,"Particulate Matter < 10 Microns, Filterable","Particulate Matter < 2.5 Microns, Filterable","Particulate Matter, Condensable",Phenol,Phosphorus,Phthalic Anhydride,Polycyclic Organic Matter,Propionaldehyde,Propylene Oxide,Selenium,Styrene,Sulfur Oxides,Sulfuric Acid,Tetrachloroethylene (Perchloroethylene),Toluene,Trichloroethylene,"Vinylidene Chloride (1,1-Dichloroethylene)",Volatile Organic Compounds,Xylenes (Isomers And Mixture),Grand Total
2016,492700,,0.1,0.01,,,0.26,,,0.14,,,109.67,0.16,,12.68,0,717459.48,12.78,2416.48,,1.02,,,,1.6,0.08,1.19,,,,,,,,0,0.57,2.86,,77.48,,92.54,,0.0218,0.12,,0,0.0008,13.15,30.82,2.27,,,0.31,,6.02,0.19,1936.54,2.45,0.08,552.86,356.42,293.14,15.27,,,0.21,,,,0.26,889.76,,,3.11,,,158.02,0.16,724450.2826
2016,495000,,,,,,,,,,,,,,,,,25251.67,,14.52,,,,,,,,,,,,,,,,,,0.08,,0.16,,,,,,,,,330.16,,,,,,0.16,,,5.81,0.11,,2.12,2.12,1.02,,,,,,,,,1.85,,,0.49,,,2.75,0.17,25613.19
2016,496101,,,,,,,,,,,,0,,,,,,,0.09,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.1,,,0,0,0,,,,,,,,,0,,,,,,13.71,,13.9
2016,499400,,,,,,,,,,,,0.01,,,,,324.1,,0.24,,,,,,,,,,,,,,,,,,0,,0,0.01,,,,,,,,0.01,,,,,,,,,13,0,,0,0,0,,,,,,,,,0,,2.23,0.31,,,0.83,,340.74
2016,504100,,,,,,,,,,,,0.02,,,0,,,0,2.4,,0.01,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,8.8,,,,,,,,8.93,,,35.34,10.31,0.32,,,,,,,,,5.9,,,,,,10.56,,83.03
2016,512800,,,0.02,,,,,,,,,18.98,,,0.06,,3412908.01,0.1,1328.04,,0.17,,,,0.04,,,,,,,,,,,0.04,1.43,,12.7,,,,0.1688,,,1.39,0.0002,3.84,4.62,,,,,,,0,429.41,1.91,,159.43,72.29,80.72,1.47,0.59,,,,,,,1480.38,,,0.05,,,24.45,0.01,3416530.319
2016,521302,,,,,,,,,,,0.15,,,,,,43234.64,,0.11,,,,0.21,,,,,,,,,,,0.1,,,0.26,,1.06,,,,,,,,,1296.12,,,,,,0.55,,,1.54,0.12,,7.89,7.89,1.09,,,,,,,,,2.18,,0.28,1.63,0.17,,9.17,0.58,44565.74
2016,521500,,,,,,,,,,,,0.01,,,,,3682.79,,2.61,,,,,,,,,,,,,,,,0,,0.05,,,,,,,,,,0.0001,0.08,,,,,,1.07,,,3.2,0,,0.22,0.22,0.11,,,,,,,,,0.01,,,5.21,0.1,,10.61,,3706.2901
2016,524000,,,,,,,,,,,,,,,,,,,0.77,,,,,,0.02,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,0.47,,,,,5.45,,,19.39,19.33,0.1,,,,,,,,,0.01,,,3.62,,,11.34,2.83,64.47
2016,526302,,,,,,,,,,,,0.06,,,,,2084.61,,0.99,,,,,,,,,,,,,,,,0.09,,0.26,,,,,,,,,,,235.78,,,,,,,,,2.31,0,,0.11,0.11,0.09,,,,,,,,,0,,,,,,11.44,,2335.85
2016,562700,,,,,,,,,,,,0.16,,,0,0,38641,,27.07,,,,,,0,,,,,,,,,,0.03,,0.58,,,,,,0.0002,,,0,0.0001,0.74,,,,,,,0,0,42.54,0.07,,0.16,0.13,0.1,,,,,,,,,0.19,,,0,,,1.77,,38714.5403
2016,562900,,,,,0,,,,,,,0.54,,,0,0,22433,,6.1,,,,,,0,,,,,,,,,,0.01,,0.3,,,,,,0.0001,,,,,0.43,,,,,,,,0,25.3,0.04,,2.07,2.05,0.05,,,,,,,,,0.12,,,0,,,2.16,,22472.1701
2016,564500,,,,,,,,,,,,0.98,,,0.01,0,27816,,13.12,,0,,,,0,,,,,,,,,,0.01,,0.42,,0,,,,,,,0,0.0001,0.53,,,,,,,0,0,34.84,0.05,,9.83,8.52,1.33,,,,,,,,3.68,0.15,,,21.07,,,123.18,0.77,28034.4901
2016,980800,,,,,,,,,,,,0.53,0,,0.13,0,29200.35,,44.38,,,,,,0,,,,,,0.03,,,,0.24,,0.61,,,,,,0.0006,,,,,4.44,,,,,,,,0,27.26,0.03,,4.79,2.4,2.1,,,,,,,,,1.27,,,0.02,,,9.12,0.03,29297.7306
2016,980900,0.05,,,,0.35,0.01,,0,0,,,2.05,,,0.03,,35034.53,0.27,21.31,0.33,,0.01,,0.45,0,,,,,,0.01,0.01,,,0.18,,0,0,0.09,,11.18,,0.0003,0,,0,0.0082,0.66,,0,0.08,,,0.08,0.22,0,15.32,0.07,,5.64,4.65,2.21,,,,0,,0,,0.01,0.66,,0.35,0.65,0.04,0,13.47,0.94,35115.9185
2016,982200,,,,,,,,,,,,0.25,,0,0,0,62199.8,,8.66,,,,,,0,,,,,,,,,,0.05,,0.93,,,,,,0.0003,,,0,0.0001,1.17,,,,,,,0,0,61.37,0.12,,0.98,0.98,2.95,,,,,,,,,0.31,,,0,,,2.85,,62280.4204
2017,010300,,,0.01,,,0,,0.01,0,,,0.25,,,0,,68.49,,3.38,,,,,0.73,,,,,,,,,,,0.16,,0.21,,0.04,,,,0.0001,,,,,0.13,0.22,,,,,0.56,,,16.35,0,,0.11,0.08,0.1,,,,,,,,,0.85,,,0.04,,,3.32,0.01,95.0501
2017,020100,,,,,,,,,,,,0.15,,,,,35338.86,,24.86,,,,,,,,,,,,,,,,,,0.54,,,,,,0.0001,,,,,0.66,,,,,,,,,59.19,0.07,,0.06,0.04,0.09,,,,,,,,,0.18,,,,,,1.63,,35426.3301
2017,040200,,,,,,,,,,,,1.82,,,0,0,72258.43,,4.79,,,,,,0,,,,,,,,,,0.05,,1.15,,0.38,0,,,0.0011,,,,0.0012,1.44,0.02,,,,,,0,0,11.46,0.4,0,0.28,0.21,0.18,,,,,,,,,0.59,,,0.06,,,6.76,0.01,72288.0323
2017,040900,,,,,,,,,,,,0.04,,,0,,9823.54,,7.07,,,,,,,,,,,,,,,,-0.01,,0.15,,,,,,,,,,,0.18,,,,,,,,0,9,0.18,,0.04,0.02,0.03,,,,,,,,,0.05,,,0,,,1.01,0,9841.3
2017,060300,,,,,,,,,,,,0.02,,,,,615,,0.43,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,7.3,,,,,2.1,,,0.51,,,0,0,0,,,,,,,,,0,,,1.1,,,9.72,0.1,636.29
2017,070900,,,,,,,,,,,,0.04,,,0,0,13167.52,,9.97,,,,,,0,,,,,,,,,,0,,0.22,,,,,,,,,,,0.29,0,,,,,,,0,7.08,0.25,,0.04,0.03,0.02,,,,,,,,,0.08,,,0,,,0.64,,13186.18
2017,090100,,,,,,,,,,,,0.05,,,0.43,,12232.07,,36.35,,,,,,0,,0.37,,,,,,,,0,,0.85,,,,,,0.0009,,,0,,0.16,,,,,,,0.22,0,17.9,0.02,,5.43,1.77,2.91,0.41,,,,,,,,2.29,,,0.19,,,5.76,0.07,12307.2509
2017,090200,,,,,,,,,,,,0.08,,,0,,16712.49,,11.68,,,,,,,,,,,,,,0.44,,0,,0.24,,,,,,,,,,,0.32,,,,,,,,0,13.92,0.04,,0.04,0,0.04,,,,,,,,,0.08,,,0,,,1.2,,16740.57
2017,101100,,,,,,,0.21,,,,,,,,0.04,,,,0,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,0.13,,,20.98,0.07,21.7
